"","ORG_CODE","SEX","AGE","POP","abs_pop"
"466","P81061","MALE","82",-12,12
"467","P81061","MALE","83",-20,20
"468","P81061","MALE","84",-13,13
"469","P81061","MALE","85",-11,11
"470","P81061","MALE","86",-9,9
"471","P81061","MALE","87",-7,7
"472","P81061","MALE","88",-6,6
"473","P81061","MALE","89",-1,1
"474","P81061","MALE","9",-29,29
"475","P81061","MALE","90",-6,6
"476","P81061","MALE","91",-4,4
"477","P81061","MALE","92",-1,1
"478","P81061","MALE","93",-4,4
"479","P81061","MALE","94",-2,2
"480","P81061","MALE","95+",-3,3
"481","P81125","MALE","0",-51,51
"482","P81125","MALE","1",-51,51
"483","P81125","MALE","10",-49,49
"484","P81125","MALE","11",-74,74
"485","P81125","MALE","12",-65,65
"486","P81125","MALE","13",-59,59
"487","P81125","MALE","14",-55,55
"488","P81125","MALE","15",-48,48
"489","P81125","MALE","16",-75,75
"490","P81125","MALE","17",-61,61
"491","P81125","MALE","18",-71,71
"492","P81125","MALE","19",-62,62
"493","P81125","MALE","2",-56,56
"494","P81125","MALE","20",-54,54
"495","P81125","MALE","21",-51,51
"496","P81125","MALE","22",-57,57
"497","P81125","MALE","23",-65,65
"498","P81125","MALE","24",-77,77
"499","P81125","MALE","25",-48,48
"500","P81125","MALE","26",-59,59
"501","P81125","MALE","27",-57,57
"502","P81125","MALE","28",-44,44
"503","P81125","MALE","29",-60,60
"504","P81125","MALE","3",-56,56
"505","P81125","MALE","30",-51,51
"506","P81125","MALE","31",-73,73
"507","P81125","MALE","32",-70,70
"508","P81125","MALE","33",-71,71
"509","P81125","MALE","34",-76,76
"510","P81125","MALE","35",-69,69
"511","P81125","MALE","36",-67,67
"512","P81125","MALE","37",-76,76
"513","P81125","MALE","38",-61,61
"514","P81125","MALE","39",-70,70
"515","P81125","MALE","4",-65,65
"516","P81125","MALE","40",-71,71
"517","P81125","MALE","41",-54,54
"518","P81125","MALE","42",-73,73
"519","P81125","MALE","43",-54,54
"520","P81125","MALE","44",-53,53
"521","P81125","MALE","45",-59,59
"522","P81125","MALE","46",-49,49
"523","P81125","MALE","47",-66,66
"524","P81125","MALE","48",-62,62
"525","P81125","MALE","49",-59,59
"526","P81125","MALE","5",-59,59
"527","P81125","MALE","50",-75,75
"528","P81125","MALE","51",-62,62
"529","P81125","MALE","52",-81,81
"530","P81125","MALE","53",-73,73
"531","P81125","MALE","54",-65,65
"532","P81125","MALE","55",-81,81
